 ,Alg1_Vec,Alg1_For,Alg3_For,Alg3_ParFor@2,Alg3_ParFor@3,Alg3_ParFor@4,,,,,,,,
Digits #: 10,,,,,,,,Digits #:,Alg1_Vec,Alg1_For,Alg3_For,Alg3_ParFor@2,Alg3_ParFor@3,Alg3_ParFor@4
21,0.000075,0.000036,0.000045,0.023649,0.032263,0.038713,,,,,,,,
22,0.000078,0.000036,0.000047,0.022347,0.029447,0.034539,,,,,,,,
23,0.000103,0.000035,0.000042,0.022135,0.032102,0.035515,,,,,,,,
24,0.000073,0.000034,0.000047,0.022054,0.022333,0.031364,,,,,,,,
25,0.000074,0.000034,0.000044,0.022194,0.031684,0.027089,,,,,,,,
26,0.000175,0.000037,0.000178,0.029783,0.027745,0.083750,,,,,,,,
27,0.000115,0.000117,0.000084,0.035903,0.045236,0.037674,,,,,,,,
28,0.000089,0.000036,0.000044,0.030295,0.023696,0.025151,,,,,,,,
29,0.000071,0.000035,0.000043,0.028121,0.024919,0.030447,,,,,,,,
30,0.000075,0.000034,0.000045,0.021901,0.027443,0.031165,,,,,,,,
31,0.000073,0.000034,0.000044,0.024983,0.047219,0.048484,,,,,,,,
32,0.000082,0.000035,0.000051,0.022108,0.022582,0.044986,,,,,,,,
33,0.000113,0.000036,0.000051,0.023450,0.023324,0.030929,,,,,,,,
34,0.000080,0.000034,0.000042,0.022056,0.021969,0.030887,,,,,,,,
35,0.000082,0.000046,0.000080,0.021715,0.024858,0.023592,,,,,,,,
36,0.000079,0.000035,0.000045,0.023163,0.023360,0.030925,,,,,,,,
37,0.000074,0.000034,0.000045,0.023901,0.028594,0.030675,,,,,,,,
38,0.000074,0.000034,0.000045,0.026747,0.035868,0.033109,,,,,,,,
39,0.000074,0.000034,0.000044,0.032880,0.071626,0.036437,,,,,,,,
40,0.000112,0.000036,0.000046,0.030933,0.030808,0.036571,,,,,,,,
41,0.000083,0.000036,0.000046,0.036557,0.032203,0.042753,,,,,,,,
42,0.000080,0.000035,0.000046,0.022753,0.032670,0.032901,,,,,,,,
43,0.000087,0.000036,0.000046,0.024778,0.029667,0.070240,,,,,,,,
44,0.000323,0.000067,0.000078,0.033158,0.030743,0.035027,,,,,,,,
45,0.000077,0.000034,0.000046,0.023288,0.030040,0.023910,,,,,,,,
46,0.000080,0.000034,0.000043,0.021788,0.021002,0.035234,,,,,,,,
47,0.000078,0.000035,0.000046,0.025391,0.030086,0.032748,,,,,,,,
48,0.000076,0.000035,0.000047,0.022576,0.035800,0.031683,,,,,,,,
49,0.000088,0.000036,0.000056,0.025423,0.037307,0.040667,,,,,,,,
50,0.000087,0.000037,0.000048,0.026797,0.027587,0.032062,,,,,,,,
51,0.000082,0.000035,0.000044,0.020550,0.032122,0.037818,,,,,,,,
52,0.001239,0.000038,0.000042,0.022971,0.025699,0.032642,,,,,,,,
53,0.000079,0.000034,0.000044,0.021297,0.022666,0.030932,,,,,,,,
54,0.000074,0.000035,0.000044,0.021993,0.024476,0.031767,,,,,,,,
55,0.000068,0.000034,0.000043,0.021899,0.030381,0.032232,,,,,,,,
56,0.000077,0.000034,0.000045,0.021645,0.028012,0.033157,,,,,,,,
57,0.000076,0.000034,0.000047,0.062689,0.084636,0.042808,,,,,,,,
58,0.000082,0.000037,0.000046,0.024733,0.037159,0.038188,,,,,,,,
59,0.000086,0.000036,0.000046,0.024629,0.023602,0.036741,,,,,,,,
60,0.000087,0.000035,0.000047,0.024666,0.028504,0.036081,,,,,,,,
61,0.000072,0.000034,0.000045,0.024204,0.022760,0.032581,,,,,,,,
62,0.000194,0.000035,0.000047,0.021811,0.038405,0.062766,,,,,,,,
63,0.000076,0.000036,0.000044,0.032230,0.056323,0.053573,,,,,,,,
64,0.000079,0.000036,0.000045,0.034042,0.053259,0.041572,,,,,,,,
65,0.000114,0.000037,0.000046,0.023873,0.031571,0.028223,,,,,,,,
66,0.000081,0.000036,0.000046,0.022233,0.034889,0.032322,,,,,,,,
67,0.000076,0.000034,0.000046,0.023039,0.023383,0.270880,,,,,,,,
68,0.000095,0.000037,0.000047,0.026193,0.043861,0.030062,,,,,,,,
69,0.000083,0.000035,0.000047,0.050658,0.030191,0.035774,,,,,,,,
70,0.000082,0.000036,0.000045,0.033215,0.053183,0.035241,,,,,,,,
71,0.000079,0.000036,0.000046,0.024667,0.046738,0.035502,,,,,,,,
72,0.000080,0.000034,0.000044,0.055409,0.027588,0.036370,,,,,,,,
73,0.000079,0.000034,0.000049,0.023859,0.040089,0.077947,,,,,,,,
74,0.000414,0.000036,0.000045,0.030419,0.034842,0.039284,,,,,,,,
75,0.000080,0.000035,0.000048,0.023726,0.022643,0.032314,,,,,,,,
76,0.000080,0.000034,0.000042,0.021553,0.048961,0.034430,,,,,,,,
77,0.000080,0.000035,0.000045,0.024673,0.039491,0.033201,,,,,,,,
78,0.000081,0.000036,0.000043,0.030980,0.030199,0.028507,,,,,,,,
79,0.000097,0.000037,0.000045,0.023605,0.024623,0.025351,,,,,,,,
80,0.000098,0.000034,0.000043,0.021913,0.018931,0.044482,,,,,,,,
81,0.000078,0.000034,0.000045,0.021812,0.022853,0.081347,,,,,,,,
82,0.000085,0.000036,0.000045,0.026642,0.031156,0.037949,,,,,,,,
83,0.000077,0.000035,0.000045,0.026725,0.035260,0.032406,,,,,,,,
84,0.000077,0.000035,0.000048,0.023702,0.033650,0.034620,,,,,,,,
85,0.000078,0.000034,0.000043,0.034646,0.030575,0.040603,,,,,,,,
86,0.000078,0.000034,0.000054,0.029534,0.021338,0.031616,,,,,,,,
87,0.000075,0.000034,0.000046,0.022630,0.022263,0.025843,,,,,,,,
88,0.000108,0.000035,0.000045,0.022169,0.027266,0.032332,,,,,,,,
89,0.000077,0.000035,0.000044,0.025000,0.021117,0.031909,,,,,,,,
90,0.000076,0.000034,0.000044,0.021295,0.021957,0.031886,,,,,,,,
91,0.000082,0.000035,0.000046,0.023173,0.028481,0.032590,,,,,,,,
92,0.000077,0.000035,0.000045,0.022274,0.022825,0.054226,,,,,,,,
93,0.000080,0.000036,0.000045,0.024838,0.044331,0.032135,,,,,,,,
94,0.000084,0.000035,0.000044,0.022280,0.027934,0.032666,,,,,,,,
95,0.000074,0.000034,0.000045,0.023488,0.022354,0.033317,,,,,,,,
96,0.000082,0.000034,0.000046,0.022290,0.024118,0.032274,,,,,,,,
97,0.000077,0.000034,0.000045,0.022253,0.021254,0.026268,,,,,,,,
98,0.000084,0.000036,0.000046,0.023735,0.022028,0.032288,,,,,,,,
99,0.000079,0.000036,0.000045,0.024588,0.022777,0.028007,,,,,,,,
100,0.000095,0.000035,0.000043,0.027206,0.023658,0.026933,,,,,,,,
Avg:,0.000103,0.000037,0.000048,0.026106,0.030572,0.039734,,,,,,,,
Digits #: 10000,,,,,,,,,,,,,,
1,0.000506,0.000313,0.000348,0.023298,0.022211,0.028750,,,,,,,,
2,0.000279,0.000309,0.000398,0.023273,0.022790,0.026398,,,,,,,,
3,0.000321,0.000323,0.000363,0.022961,0.021946,0.026334,,,,,,,,
4,0.000304,0.000309,0.000367,0.023073,0.022584,0.032979,,,,,,,,
5,0.000537,0.000307,0.000355,0.023038,0.022315,0.032743,,,,,,,,
6,0.000376,0.000304,0.000366,0.023207,0.023018,0.026963,,,,,,,,
7,0.000366,0.000312,0.000357,0.023017,0.022196,0.028513,,,,,,,,
8,0.000299,0.000310,0.000360,0.023180,0.028674,0.028710,,,,,,,,
9,0.000386,0.000317,0.000356,0.022568,0.031731,0.031214,,,,,,,,
10,0.000329,0.000311,0.000419,0.022714,0.029443,0.030950,,,,,,,,
11,0.000319,0.000309,0.000365,0.024233,0.022741,0.033053,,,,,,,,
12,0.000505,0.000333,0.000386,0.029243,0.022798,0.029378,,,,,,,,
13,0.000479,0.000301,0.000374,0.023109,0.022474,0.029481,,,,,,,,
14,0.000362,0.000305,0.000367,0.027601,0.022740,0.025935,,,,,,,,
15,0.000356,0.000312,0.000374,0.022929,0.022177,0.032656,,,,,,,,
16,0.000363,0.000309,0.000358,0.022607,0.021769,0.032315,,,,,,,,
17,0.000341,0.000306,0.000366,0.022969,0.022179,0.033679,,,,,,,,
18,0.000329,0.000308,0.000369,0.022063,0.022010,0.027125,,,,,,,,
19,0.000298,0.000325,0.000354,0.023056,0.026723,0.027889,,,,,,,,
20,0.000328,0.000305,0.000369,0.022963,0.027692,0.032003,,,,,,,,
21,0.000538,0.000304,0.000378,0.023250,0.023213,0.032205,,,,,,,,
22,0.000331,0.000325,0.000377,0.023088,0.022928,0.032924,,,,,,,,
